tool_name,tool_url,article_title,article_location,article_year,article_doi,number_of_citations (google 2022),brazilian_qualis_cc,jcr_2016_2020,article_abstract
ASAView,http://www.netasa.org/asaview/,ASAView: Database and tool for solvent accessibility representation in proteins,BMC Bioinformatics,2004,https://doi.org/10.1186/1471-2105-5-51,301,A1,3629,"Background
Accessible surface area (ASA) or solvent accessibility of amino acids in a protein has important implications. Knowledge of surface residues helps in locating potential candidates of active sites. Therefore, a method to quickly see the surface residues in a two dimensional model would help to immediately understand the population of amino acid residues on the surface and in the inner core of the proteins.
Results
ASAView is an algorithm, an application and a database of schematic representations of solvent accessibility of amino acid residues within proteins. A characteristic two-dimensional spiral plot of solvent accessibility provides a convenient graphical view of residues in terms of their exposed surface areas. In addition, sequential plots in the form of bar charts are also provided. Online plots of the proteins included in the entire Protein Data Bank (PDB), are provided for the entire protein as well as their chains separately.
Conclusions
These graphical plots of solvent accessibility are likely to provide a quick view of the overall topological distribution of residues in proteins. Chain-wise computation of solvent accessibility is also provided."
BeAtMuSiC,http://babylone.ulb.ac.be/beatmusic,BeAtMuSiC: prediction of changes in protein–protein binding affinity on mutations,Nucleic Acids Research,2013,https://doi.org/10.1093/nar/gkt450,231,B2,15542,"The ability of proteins to establish highly selective interactions with a variety of (macro)molecular partners is a crucial prerequisite to the realization of their biological functions. The availability of computational tools to evaluate the impact of mutations on protein–protein binding can therefore be valuable in a wide range of industrial and biomedical applications, and help rationalize the consequences of non-synonymous single-nucleotide polymorphisms. BeAtMuSiC (http://babylone.ulb.ac.be/beatmusic) is a coarse-grained predictor of the changes in binding free energy induced by point mutations. It relies on a set of statistical potentials derived from known protein structures, and combines the effect of the mutation on the strength of the interactions at the interface, and on the overall stability of the complex. The BeAtMuSiC server requires as input the structure of the protein–protein complex, and gives the possibility to assess rapidly all possible mutations in a protein chain or at the interface, with predictive performances that are in line with the best current methodologies."
BEE,http://bike-bee.snu.ac.kr/,Biomedical Entity Explorer: A Web Server for Biomedical Entity Exploration,Journal of Computational Biology,2021,https://doi.org/10.1089/cmb.2020.0364,-,A1,1377,"Biomedical Entity Explorer (BEE) is a web server that can search for biomedical entities from a database of six biomedical entity types (gene, miRNA, drug, disease, single nucleotide polymorphism [SNP], pathway) and their gene associations. The search results can be explored using intersections, unions, and negations. BEE has integrated biomedical entities from 16 databases (Ensemble, PharmGKB, Genetic Home Reference, Tarbase, Mirbase, NCI Thesaurus, DisGeNET, Linked life data, UMLS, GSEA MsigDB, Reactome, KEGG, Gene Ontology, HGVD, SNPedia, and dbSNP) based on their gene associations and built a database with their synonyms, descriptions, and links containing individual details. Users can enter the keyword of one or more entities and select the type of entity for which they want to know the relationship for and by using set operations such as union, negation, and intersection, they can navigate the search results more clearly. We believe that BEE will not only be useful for biologists querying for complex associations between entities, but can also be a good starting point for general users searching for biomedical entities. BEE is accessible at (http://bike-bee.snu.ac.kr)."
Bluues server,http://protein.bio.unipd.it/bluues/,Bluues server: electrostatic properties of wild-type and mutated protein structures,Bioinformatics,2012,https://doi.org/10.1093/bioinformatics/bts343,64,A1,8470,"Motivation: Electrostatic calculations are an important tool for deciphering many functional mechanisms in proteins. Generalized Born (GB) models offer a fast and convenient computational approximation over other implicit solvent-based electrostatic models. Here we present a novel GB-based web server, using the program Bluues, to calculate numerous electrostatic features including pKa-values and surface potentials. The output is organized allowing both experts and beginners to rapidly sift the data. A novel feature of the Bluues server is that it explicitly allows to find electrostatic differences between wild-type and mutant structures.
Availability: The Bluues server, examples and extensive help files are available for non-commercial use at URL: http://protein.bio.unipd.it/bluues/.
Contact:  silvio.tosatto@unipd.it"
BorodaTM,https://www.iitm.ac.in/bioinfo/MutHTP/boroda.php,Prediction of disease-associated mutations in the transmembrane regions of proteins with known 3D structure,PLOS ONE,2019,https://doi.org/10.1371/journal.pone.0219452,11,B2,3788,"Being able to assess the phenotypic effects of mutations is a much required capability in precision medicine. However, most of the currently available structure-based methods actually predict stability changes caused by mutations rather than their pathogenic potential. There are also no dedicated methods to predict damaging mutations specifically in transmembrane proteins. In this study we developed and applied a machine-learning approach to discriminate between disease-associated and benign point mutations in the transmembrane regions of proteins with known 3D structure. The method, called BorodaTM (BOosted RegressiOn trees for Disease-Associated mutations in TransMembrane proteins), was trained on sequence-, structure-, and energy-derived descriptors. When compared with the state-of-the-art methods, BorodaTM is superior in classifying point mutations in transmembrane regions. Using BorodaTM we have conducted a large-scale mutation analysis in the transmembrane regions of human proteins with known 3D structures. For each protein we generated structural models for all point mutations by replacing each residue to 19 possible residue types. We classified ~1.8 millions point mutations as benign or diseased-associated and made all predictions available as a Web-server at https://www.iitm.ac.in/bioinfo/MutHTP/boroda.php."
CADD,https://cadd.gs.washington.edu/,CADD: predicting the deleteriousness of variants throughout the human genome,Nucleic Acids Research,2019,https://doi.org/10.1093/nar/gky1016,1591,B2,15542,"Combined Annotation-Dependent Depletion (CADD) is a widely used measure of variant deleteriousness that can effectively prioritize causal variants in genetic analyses, particularly highly penetrant contributors to severe Mendelian disorders. CADD is an integrative annotation built from more than 60 genomic features, and can score human single nucleotide variants and short insertion and deletions anywhere in the reference assembly. CADD uses a machine learning model trained on a binary distinction between simulated de novo variants and variants that have arisen and become fixed in human populations since the split between humans and chimpanzees; the former are free of selective pressure and may thus include both neutral and deleterious alleles, while the latter are overwhelmingly neutral (or, at most, weakly deleterious) by virtue of having survived millions of years of purifying selection. Here we review the latest updates to CADD, including the most recent version, 1.4, which supports the human genome build GRCh38. We also present updates to our website that include simplified variant lookup, extended documentation, an Application Program Interface and improved mechanisms for integrating CADD scores into other tools or applications. CADD scores, software and documentation are available at https://cadd.gs.washington.edu."
Cancer3D,http://www.cancer3d.org/,Cancer3D: understanding cancer mutations through protein structures,Nucleic Acids Research,2015,https://doi.org/10.1093/nar/gku1140,47,B2,15542,"The new era of cancer genomics is providing us with extensive knowledge of mutations and other alterations in cancer. The Cancer3D database at http://www.cancer3d.org gives an open and user-friendly way to analyze cancer missense mutations in the context of structures of proteins in which they are found. The database also helps users analyze the distribution patterns of the mutations as well as their relationship to changes in drug activity through two algorithms: e-Driver and e-Drug. These algorithms use knowledge of modular structure of genes and proteins to separately study each region. This approach allows users to find novel candidate driver regions or drug biomarkers that cannot be found when similar analyses are done on the whole-gene level. The Cancer3D database provides access to the results of such analyses based on data from The Cancer Genome Atlas (TCGA) and the Cancer Cell Line Encyclopedia (CCLE). In addition, it displays mutations from over 14 700 proteins mapped to more than 24 300 structures from PDB. This helps users visualize the distribution of mutations and identify novel three-dimensional patterns in their distribution."
CancerDR,http://crdd.osdd.net/raghava/cancerdr/,CancerDR: Cancer Drug Resistance Database,Scientific Reports,2013,https://doi.org/10.1038/srep01445,110,A1,5134,"Cancer therapies are limited by the development of drug resistance and mutations in drug targets is one of the main reasons for developing acquired resistance. The adequate knowledge of these mutations in drug targets would help to design effective personalized therapies. Keeping this in mind, we have developed a database “CancerDR”, which provides information of 148 anti-cancer drugs and their pharmacological profiling across 952 cancer cell lines. CancerDR provides comprehensive information about each drug target that includes; (i) sequence of natural variants, (ii) mutations, (iii) tertiary structure and (iv) alignment profile of mutants/variants. A number of web-based tools have been integrated in CancerDR. This database will be very useful for identification of genetic alterations in genes encoding drug targets and in turn the residues responsible for drug resistance. CancerDR allows user to identify promiscuous drug molecules that can kill wide range of cancer cells. CancerDR is freely accessible at http://crdd.osdd.net/raghava/cancerdr/"
CancerResource,http://bioinformatics.charite.de/care,"CancerResource—updated database of cancer-relevant proteins, mutations and interacting drugs",Nucleic Acids Research,2016,https://doi.org/10.1093/nar/gkv1283,30,B2,15542,"Here, we present an updated version of CancerResource, freely available without registration at http://bioinformatics.charite.de/care. With upcoming information on target expression and mutations in patients’ tumors, the need for systems supporting decisions on individual therapy is growing. This knowledge is based on numerous, experimentally validated drug-target interactions and supporting analyses such as measuring changes in gene expression using microarrays and HTS-efforts on cell lines. To enable a better overview about similar drug-target data and supporting information, a series of novel information connections are established and made available as described in the following. CancerResource contains about 91 000 drug-target relations, more than 2000 cancer cell lines and drug sensitivity data for about 50 000 drugs. CancerResource enables the capability of uploading external expression and mutation data and comparing them to the database's cell lines. Target genes and compounds are projected onto cancer-related pathways to get a better overview about how drug-target interactions benefit the treatment of cancer. Features like cellular fingerprints comprising of mutations, expression values and drug-sensitivity data can promote the understanding of genotype to drug sensitivity associations. Ultimately, these profiles can also be used to determine the most effective drug treatment for a cancer cell line most similar to a patient's tumor cells."
CanDrA,http://bioinformatics.mdanderson.org/main/CanDrA,CanDrA: Cancer-Specific Driver Missense Mutation Annotation with Optimized Features,PLOS ONE,2013,https://doi.org/10.1371/journal.pone.0077945,100,B2,3788,"Driver mutations are somatic mutations that provide growth advantage to tumor cells, while passenger mutations are those not functionally related to oncogenesis. Distinguishing drivers from passengers is challenging because drivers occur much less frequently than passengers, they tend to have low prevalence, their functions are multifactorial and not intuitively obvious. Missense mutations are excellent candidates as drivers, as they occur more frequently and are potentially easier to identify than other types of mutations. Although several methods have been developed for predicting the functional impact of missense mutations, only a few have been specifically designed for identifying driver mutations. As more mutations are being discovered, more accurate predictive models can be developed using machine learning approaches that systematically characterize the commonality and peculiarity of missense mutations under the background of specific cancer types. Here, we present a cancer driver annotation (CanDrA) tool that predicts missense driver mutations based on a set of 95 structural and evolutionary features computed by over 10 functional prediction algorithms such as CHASM, SIFT, and MutationAssessor. Through feature optimization and supervised training, CanDrA outperforms existing tools in analyzing the glioblastoma multiforme and ovarian carcinoma data sets in The Cancer Genome Atlas and the Cancer Cell Line Encyclopedia project."
CAUSALdb,http://mulinlab.org/causaldb,CAUSALdb: a database for disease/trait causal variants identified using summary statistics of genome-wide association studies,Nucleic Acids Research,2020,https://doi.org/10.1093/nar/gkz1026,26,B2,15542,"Genome-wide association studies (GWASs) have revolutionized the field of complex trait genetics over the past decade, yet for most of the significant genotype-phenotype associations the true causal variants remain unknown. Identifying and interpreting how causal genetic variants confer disease susceptibility is still a big challenge. Herein we introduce a new database, CAUSALdb, to integrate the most comprehensive GWAS summary statistics to date and identify credible sets of potential causal variants using uniformly processed fine-mapping. The database has six major features: it (i) curates 3052 high-quality, fine-mappable GWAS summary statistics across five human super-populations and 2629 unique traits; (ii) estimates causal probabilities of all genetic variants in GWAS significant loci using three state-of-the-art fine-mapping tools; (iii) maps the reported traits to a powerful ontology MeSH, making it simple for users to browse studies on the trait tree; (iv) incorporates highly interactive Manhattan and LocusZoom-like plots to allow visualization of credible sets in a single web page more efficiently; (v) enables online comparison of causal relations on variant-, gene- and trait-levels among studies with different sample sizes or populations and (vi) offers comprehensive variant annotations by integrating massive base-wise and allele-specific functional annotations. CAUSALdb is freely available at http://mulinlab.org/causaldb."
Ccharppi,https://life.bsc.es/pid/ccharppi/,Inferring the microscopic surface energy of protein–protein interfaces from mutation data,PROTEINS,2015,https://doi.org/10.1002/prot.24761,14,B3,2752,"Mutations at protein–protein recognition sites alter binding strength by altering the chemical nature of the interacting surfaces. We present a simple surface energy model, parameterized with empirical urn:x-wiley:08873585:media:prot24761:prot24761-math-0001 values, yielding mean energies of −48 cal mol−1 Å−2 for interactions between hydrophobic surfaces, −51 to −80 cal mol−1 Å−2 for surfaces of complementary charge, and 66–83 cal mol−1 Å−2 for electrostatically repelling surfaces, relative to the aqueous phase. This places the mean energy of hydrophobic surface burial at −24 cal mol−1 Å−2. Despite neglecting configurational entropy and intramolecular changes, the model correlates with empirical binding free energies of a functionally diverse set of rigid-body interactions (r = 0.66). When used to rerank docking poses, it can place near-native solutions in the top 10 for 37% of the complexes evaluated, and 82% in the top 100. The method shows that hydrophobic burial is the driving force for protein association, accounting for 50–95% of the cohesive energy. The model is available open-source from http://life.bsc.es/pid/web/surface_energy/ and via the CCharpPPI web server http://life.bsc.es/pid/ccharppi/. Proteins 2015; 83:640–650. © 2015 Wiley Periodicals, Inc."
ChroMoS,http://epicenter.immunbio.mpg.de/services/chromos,"ChroMoS: an integrated web tool for SNP classification, prioritization and functional interpretation",Bioinformatics,2013,https://doi.org/10.1093/bioinformatics/btt356,35,A1,8470,"Summary: Genome-wide association studies and re-sequencing projects are revealing an increasing number of disease-associated SNPs, a large fraction of which are non-coding. Although they could have relevance for disease susceptibility and progression, the lack of information about regulatory regions impedes the assessment of their functionality. Here we present a web server, ChroMoS (Chromatin Modified SNPs), which combines genetic and epigenetic data with the goal of facilitating SNPs' classification, prioritization and prediction of their functional consequences. ChroMoS uses a large database of SNPs and chromatin states, but allows a user to provide his/her own genetic information. Based on the SNP classification and interactive prioritization, a user can compute the functional impact of multiple SNPs using two prediction tools, one for differential analysis of transcription factor binding (sTRAP) and another for SNPs with potential impact on binding of miRNAs (MicroSNiPer).
Availability: Web server, ChroMoS, is freely available at http://epicenter.immunbio.mpg.de/services/chromos.
Contact:  barenboim@ie-freiburg.mpg.de or manke@ie-freiburg.mpg.de"
CircosVCF,http://www.ariel.ac.il/research/fbl/software,CircosVCF: circos visualization of whole-genome sequence variations stored in VCF files,Bioinformatics,2017,https://doi.org/10.1093/bioinformatics/btw834,17,A1,8470,"Summary
Visualization of whole-genomic variations in a meaningful manner assists researchers in gaining new insights into the underlying data, especially when it comes in the context of whole genome comparisons. CircosVCF is a web based visualization tool for genome-wide variant data described in VCF files, using circos plots. The user friendly interface of CircosVCF supports an interactive design of the circles in the plot, and the integration of additional information such as experimental data or annotations. The provided visualization capabilities give a broad overview of the genomic relationships between genomes, and allow identification of specific meaningful SNPs regions.
Availability and Implementation
CircosVCF was implemented in JavaScript and is available at http://www.ariel.ac.il/research/fbl/software.
Supplementary information
Supplementary data are available at Bioinformatics online."
ClinVar,http://www.ncbi.nlm.nih.gov/clinvar/,ClinVar: public archive of relationships among sequence variation and human phenotype,Nucleic Acids Research,2014,https://doi.org/10.1093/nar/gkt1113,2129,B2,15542,"ClinVar (http://www.ncbi.nlm.nih.gov/clinvar/) provides a freely available archive of reports of relationships among medically important variants and phenotypes. ClinVar accessions submissions reporting human variation, interpretations of the relationship of that variation to human health and the evidence supporting each interpretation. The database is tightly coupled with dbSNP and dbVar, which maintain information about the location of variation on human assemblies. ClinVar is also based on the phenotypic descriptions maintained in MedGen (http://www.ncbi.nlm.nih.gov/medgen). Each ClinVar record represents the submitter, the variation and the phenotype, i.e. the unit that is assigned an accession of the format SCV000000000.0. The submitter can update the submission at any time, in which case a new version is assigned. To facilitate evaluation of the medical importance of each variant, ClinVar aggregates submissions with the same variation/phenotype combination, adds value from other NCBI databases, assigns a distinct accession of the format RCV000000000.0 and reports if there are conflicting clinical interpretations. Data in ClinVar are available in multiple formats, including html, download as XML, VCF or tab-delimited subsets. Data from ClinVar are provided as annotation tracks on genomic RefSeqs and are used in tools such as Variation Reporter (http://www.ncbi.nlm.nih.gov/variation/tools/reporter), which reports what is known about variation based on user-supplied locations."
COREX/BEST server,http://best.utmb.edu/BEST/,COREX/BEST server: a web browser-based program that calculates regional stability variations within protein structures,Bioinformatics,2005,https://doi.org/10.1093/bioinformatics/bti520,54,A1,8470,"Summary: Utilizing the user-supplied coordinates of a protein structure, the COREX/BEST Server generates a structural thermodynamic ensemble. This conformational ensemble can then be used to calculate the regional variations in stability of a protein structure, and the stabilities are presented in units of energy (kcal/mol). The regional stabilities, which are calculated at the resolution of individual residues, can be mapped onto the protein structure for visual representation and downloaded from the site in the form of tab delimited text. The site provides an easy to follow summary of the theoretical and algorithmic approaches and provides links to references for more detailed descriptions.
Availability: The COREX/BEST Server may be accessed through a typical web browser by visiting http://best.utmb.edu/BEST/
Contact:vjhilser@utmb.edu"
CPred,http://sarst.life.nthu.edu.tw/CPred,CPred: a web server for predicting viable circular permutations in proteins,Nucleic Acids Research,2012,https://doi.org/10.1093/nar/gks529,26,B2,15542,"Circular permutation (CP) is a protein structural rearrangement phenomenon, through which nature allows structural homologs to have different locations of termini and thus varied activities, stabilities and functional properties. It can be applied in many fields of protein research and bioengineering. The limitation of applying CP lies in its technical complexity, high cost and uncertainty of the viability of the resulting protein variants. Not every position in a protein can be used to create a viable circular permutant, but there is still a lack of practical computational tools for evaluating the positional feasibility of CP before costly experiments are carried out. We have previously designed a comprehensive method for predicting viable CP cleavage sites in proteins. In this work, we implement that method into an efficient and user-friendly web server named CPred (CP site predictor), which is supposed to be helpful to promote fundamental researches and biotechnological applications of CP. The CPred is accessible at http://sarst.life.nthu.edu.tw/CPred."
